Ind,Pri,Cmp,GLON,GLAT,Vmag,f_Vmag,SpType,pml,pmb,dpml,e_dpml,dpmb,e_dpmb,Dis,e_Dis,Rvel,dRVel,e_dRVel,Mass,dR,Prob,ra_y,ra_error_y,dec_y,dec_error_y,l_y,b_y,phot_g_mean_mag_y,bp_rp_y,bp_g_y,g_rp_y,teff_val_y,pmra_y,pmra_error_y,pmdec_y,pmdec_error_y,radial_velocity_y,radial_velocity_error_y,distance_y,distance_error_y,del_pmra,del_pmra_error,del_pmdec,del_pmdec_error,angular_sep_1,angular_sep_2,proy_sep,proy_sep_2,rel_vel,rel_vel_err
686,77432,77051,335.9,12.5,9.14,, G2/G3V;UnK,-37.4,-8.6,2.5,2.4,-2.5,2.4,98.7,17.5,,,,1.09,6.0865,0.22,236.0044349564,0.040492841,-39.0950282316,0.0238773129,335.8621671877,12.4988817954,9.717615,0.6466532,-0.000544548,0.6471977,5816.5,-29.7311536347,0.0944771802,-40.37156444,0.0690547083,,,127.0704378216,0.8672444124,10.0139927662,0.1806723026,10.2430045978,0.1278380937,3.6197378839,3.6197378839,8.2202744994,8.2202744994,8.3779333126,0.2066057601
686,77432,77520,336.9,12.1,9.25,, F3V;OtH,-24.6,-7.9,-10.3,1.8,-3,1.8,99.9,14.8,1.9,-2.7,1.5,1.29,6.4699,0.15,237.4150415052,0.0362943001,-38.7775761098,0.0220691153,336.9382953137,12.052819421,9.164602,0.5753555,0.22218704,0.3531685,6773.6304,-18.1071038872,0.0886177269,-23.3670153403,0.0581291674,3.7601685086,0.4910124508,152.8335940522,1.0094829859,-1.6100569813,0.1748128493,-6.761544502,0.1169125528,3.8478760361,3.8478760361,25.9892001607,25.9892001607,1.8112856486,0.1457091585
689,78058,78058,342.7,16.5,6.29,80, F6V;OtH,38.8,-31.2,,,,,51.8,1.3,18.3,,,1.42,,,239.0587089801,0.0375428279,-31.7858610186,0.0197259597,342.7042841679,16.4652032232,6.1712947,0.6036663,0.25051212,0.35315418,6469,49.2763672819,0.0825043472,4.6428551715,0.0518154416,18.506172307,0.2631182422,53.2872795466,0.1279990289,0,0.1650086944,0,0.1036308832,0,0,,0,0,
689,78058,79127,345.9,15.7,8.21,, G1V;UnK,36.4,-33.7,-2.2,1.7,2.9,1.7,57.2,4.2,,,,0.98,2.846,0.22,242.2678982674,0.0528956984,-30.2586973694,0.0227385307,345.8766310583,15.6889490684,8.06413,0.7581186,0.3174572,0.44066143,5926.3335,50.4735638444,0.1225769293,1.2644887185,0.0566134514,17.3767690915,0.1419799409,59.2119574551,0.2304542724,-1.1971965625,0.2050812765,3.3783664531,0.108428893,3.1455048031,3.1455048031,6.6790085281,6.6790085281,1.9060674516,0.1410528381
690,78159,78159,43.7,48.8,4.14,6, K2III;BiN,-77.3,64.9,,,,,67.9,1,-32.4,,,0.64,,,239.3965057195,0.1409349839,26.877617071,0.162899657,43.6524979193,48.7830137807,3.6598778,1.4005654,0.77127695,0.62928843,4347.5,-76.9814282086,0.3106770115,-59.4742320355,0.3549451738,,,69.9802286542,1.052306415,0,0.6213540229,0,0.7098903477,8.53773646251594E-07,0,9.03079744833007E-07,0,0,
690,78159,77512,41.9,50.4,4.59,, G3.5II;F/E,-79,63.2,-1.9,1,2.6,1.1,52.1,0.7,-19.4,-11.9,0.6,0.97,2.3263,0.12,237.39815101,0.0946395512,26.0681133794,0.1340331678,41.8747311749,50.3725803501,4.326625,0.97649765,0.47388458,0.50261307,5348.75,-78.7998681852,0.2307510434,-64.1988012485,0.380865459,-19.9304619861,0.1338115582,50.726112525,0.4683573066,1.8184399766,0.5414280549,4.724569213,0.7358106328,1.9634179692,1.9634179692,19.3620544089,19.3620544089,7.8700682555,0.4613514984
691,78283,78283,31.6,46.1,7.79,247, F8;OtH,-16.7,57.6,,,,,71.7,4.2,-62,,,1.07,,,239.7573209084,0.0379888894,18.3258890842,0.0328425156,31.6143845659,46.1089031519,7.6539135,0.6953683,0.2886963,0.406672,6131.3335,-59.445314565,0.0654164803,2.5197727575,0.0583318837,-61.8237171577,0.1570274756,71.0792601463,0.306221585,0,0.1308329606,0,0.1166637674,0,0,,0,0,
691,78283,78067,34.2,47.4,8.45,, G0;BiN,-8.2,56.4,-0.9,1.5,5.7,1.5,71.5,4.8,-30.7,-31,7.5,1.18,2.7346,1,239.0945629354,0.0330477721,20.4187759059,0.0314167792,34.1940560384,47.3925498878,8.327234,0.66883373,0.27373886,0.39509487,6157.2,-56.6579393707,0.0575035068,9.31505408,0.0606476384,-18.2059315616,0.7140121452,80.1842826853,0.3209756156,-2.7873751943,0.1229199871,-6.7952813224,0.118979522,2.1842695447,2.1842695447,9.5490133047,9.5490133047,3.0869477263,0.1157220371
695,78822,78822,4.8,32.4,7.86,256, F5;OtH,37.3,-38,,,,,77.2,5.5,-7.6,,,1.29,,,241.3633868742,0.0419237461,-6.2904340821,0.0230725419,4.8142635193,32.4230757143,7.743355,0.582881,0.23768473,0.34519625,6418.567,49.6520441782,0.0941521915,7.3132654081,0.053525126,-7.611680128,0.1608923757,83.100537632,0.3576435447,0,0.1883043829,0,0.1070502519,8.53773646251594E-07,0,9.1573113696584E-07,0,0,
695,78822,77326,1.2,35.8,10.48,, K3V;UnK,32.5,-30.1,5,2.3,-5.1,2.2,72.7,9,,,,0.8,6.1089,0.2,236.8038902078,0.0314245251,-6.5078626398,0.0188089599,1.1578101037,35.8025127075,10.16869,1.0689535,0.47112465,0.59782887,5044.56,40.5502617566,0.0719044445,3.3513146969,0.0572445007,-1.533332736,0.2421496051,68.3237801733,0.1749107221,9.1017824216,0.1660566359,3.9619507112,0.1107696267,4.5362851632,4.5362851632,15.9350002496,15.9350002496,6.6774108708,0.1865035984
698,79292,79292,76.7,46.1,8.09,296, F5;OtH,86.5,38.6,,,,,78.4,3.7,-23,,,1.17,,,242.7377901692,0.0266730583,49.0639897496,0.0317445724,76.6922821789,46.0750058231,7.9753714,0.61772966,0.2559681,0.36176157,6344,-54.5428096273,0.0565032393,78.5868971461,0.0671743077,-24.278270523,0.3161408764,76.9901626802,0.177335389,0,0.1130064787,0,0.1343486153,0,8.53773646251594E-07,,1.34869915234861E-06,0,
698,79292,79807,81,44.4,9.06,, K0;UnK,93.3,30.3,-1.7,2,1.8,1.8,74,5,,,,0.95,4.7308,0.19,244.3161444761,0.0214450364,52.3754681024,0.0257987948,80.9932604601,44.4029870656,8.897181,0.80627346,0.34330273,0.46297073,5789.5,-52.6662219412,0.0431746029,87.0577519736,0.0507733685,-16.9101081639,0.2252556699,73.6123796857,0.1378880144,-1.8765876861,0.0996778423,-8.4708548275,0.1179476762,3.4587402844,3.4587402844,5.6617878935,5.6617878935,2.285942275,0.1527354503
700,80543,80543,31.9,39.1,6.7,117, G0III;OtH,-1.4,-2.1,,,,,79.6,3.5,-37.9,,,1.73,,,246.6633590679,0.0176535577,15.9726225981,0.0157341957,31.8995809788,39.1068843331,6.5402985,0.78399754,0.33620977,0.44778776,5895,0.7307422119,0.0366888074,-3.5024791539,0.0361039618,-37.8028126185,0.1259836565,78.8820721799,0.185518555,0,0.0733776147,0,0.0722079237,8.53773646251594E-07,0,1.09951826950894E-06,0,0,
700,80543,79898,30.4,40.8,8.71,, G0;UnK,4.4,-1.3,-7.9,1.6,2.1,1.6,89.3,8.6,,,,1.16,2.7961,0.13,244.6211832841,0.0312933691,15.5416342891,0.0249381551,30.401463941,40.7589479317,8.590099,0.6114502,0.24739075,0.36405945,6508.6665,0.8197679084,0.0547734859,1.6847499982,0.0457712839,-6.646521887,0.2553108771,113.6297045151,0.5765230971,-0.0890256965,0.0914622933,-5.1872291521,0.0818752457,2.0121203236,2.0121203236,34.9063197267,34.9063197267,2.225350538,0.0430902288
