source_id_1,source_id_2,ra_1,dec_1,ra_2,dec_2,ra_err_1,dec_err_1,ra_err_2,dec_err_2,parallax_1,parallax_2,par_over_err_1,par_over_err_2,pmra_1,pmdec_1,pmra_2,pmdec_2,pmra_err_1,pmdec_err_1,pmra_err_2,pmdec_err_2,rad_vel_1,rad_vel_2,rad_vel_err_1,rad_vel_err_2,phot_g_1,phot_g_2,phot_g_over_err_1,phot_g_over_err_2,phot_bp_1,phot_bp_2,phot_bp_over_err_1,phot_bp_over_err_2,phot_rp_1,phot_rp_2,phot_rp_1,phot_rp_2,astro_chi2_al_1,astro_chi2_al_2,astro_chi2_al_1,astro_chi2_al_2,astro_n_goodobs_al_1,astro_n_goodobs_al_2,phot_bp_rp_xs_1,phot_bp_rp_xs_2,rv_nb_tran_1,rv_nb_tran_2,pairdistance,angular_distance
6668401171919059584,6668403989418902016,308.1411039346664,-47.72790673539553,308.03898287293504,-47.70248771682652,0.05727390281602327,0.035251177476423805,0.0334629761803362,0.0249776603182155,31.888870867767206,31.986458683609296,442.00357,665.78,98.02859606996687,-147.9754809597441,99.1752819753474,-150.91748552382222,0.10733408956803463,0.07563505124888924,0.06761258498300715,0.047352924448825225,,-11.729905752055704,,0.29021225184217836,12.8688965,10.114285,1292.2004,2173.8828,14.36888,10.998429,248.4695,655.5103,11.676584,9.21339,412.44928,962.9351,720.1157,351.24872,720.1157,351.24872,173,221,1.4616262,1.3014935,0,5,0.07325990097833597,0.10523705504311481
6668403989418902016,6668403989418902144,308.03898287293504,-47.70248771682652,308.0375449659919,-47.70239997967563,0.0334629761803362,0.0249776603182155,0.034753197859859516,0.025481760774755557,31.986458683609296,31.98434389999045,665.78,662.1667,99.1752819753474,-150.91748552382222,100.72810219465457,-135.9808148986141,0.06761258498300715,0.047352924448825225,0.07186220384977637,0.04862798632504938,-11.729905752055704,-10.363296554253804,0.29021225184217836,0.7617368991952508,10.114285,10.07316,2173.8828,2833.1357,10.998429,10.946255,655.5103,799.1352,9.21339,9.176361,962.9351,1160.9924,351.24872,302.97946,351.24872,302.97946,221,203,1.3014935,1.3011377,5,5,9.71653300514801E-4,0.0014405811968543972
6668487925964799616,6668487930259881472,306.67714142253004,-47.97057207222069,306.67757589659635,-47.97148223770787,0.03359271787306536,0.03097605425516051,0.03183180904083698,0.027872336903747883,5.617796365865244,5.732544913402625,161.2194,149.81384,27.286962195359873,-25.17656650252716,26.883073614116313,-27.043265432507752,0.07205495897291975,0.06799692708902337,0.0653515387154647,0.053191991074442946,-16.80678340784864,-18.908424583796787,2.304598470995039,1.1181708498070408,12.254333,9.351455,1570.6343,4491.989,12.737607,9.590908,247.00061,829.2297,11.57954,9.000556,495.16025,738.5277,285.47574,534.5679,285.47574,534.5679,207,216,1.2629049,1.1766149,8,7,9.55517769705576E-4,0.001008547930613211
6668524970057980416,6668525038777459584,305.7223912039931,-48.005513597677194,305.7085922062343,-47.998568780756784,0.04725537716075199,0.020629160196637932,0.04160142371828596,0.02462723565700498,5.4195981953361105,5.460366934857626,98.454124,114.284256,-47.67433544062788,-116.9871942362852,-47.877315209996304,-116.70087352300408,0.05970391300231445,0.04305526716980684,0.0706243218775181,0.05130091425831959,,-70.53505791361408,,0.29321650978188335,14.089484,10.259891,4123.3213,3149.617,14.896419,10.579553,394.49353,1352.8984,13.216708,9.803586,972.2433,1147.3531,185.54317,482.17474,185.54317,482.17474,220,256,1.3004574,1.1947407,0,10,0.011553274426357979,0.015448068526677322
6668856850770706944,6668856850770707200,304.66183945306295,-48.54167760561602,304.66260275028117,-48.54006924110209,0.02619870370855996,0.019720138009415654,0.020005488135244505,0.015378589896866015,6.736575216016897,6.678367606751033,194.08682,260.5817,-65.45456687848224,-36.8864208915228,-64.15872038243563,-37.26113184862129,0.05442096832434139,0.04114338377606959,0.04145689013498638,0.03277074200412893,4.56158424294194,,0.8936895266400479,,12.507425,14.010582,7301.6196,3013.832,13.07499,14.881551,777.37897,288.39117,11.8110695,13.090527,1573.8193,895.3873,286.2396,273.78305,286.2396,273.78305,272,264,1.2437223,1.3228471,11,0,0.0016858924393850583,0.0017802974619475671
6668917117751909632,6668917117751909760,304.11848541162817,-48.43655742321614,304.11522232332766,-48.44115157131481,0.021272501001770795,0.015800436027209874,0.01698318519745238,0.01386610245200128,6.77214655698065,6.742829484364989,221.80219,277.6939,-277.69748306939675,-324.32137717653393,-277.5330857121118,-324.5482640000374,0.04626652143372571,0.03331691912031456,0.037497408053087516,0.02915237570006565,,131.82465283047236,,2.339791787295853,14.39733,13.047298,3939.9954,3919.7964,15.31643,13.688551,557.3813,780.2185,13.449657,12.286962,940.3564,1046.7281,282.25912,246.03125,282.25912,246.03125,291,261,1.3342059,1.2643067,0,12,0.005078634899996167,0.005635063620710085
6669040293116952064,6669040297412209664,303.13803033035896,-48.24021060977802,303.1375075291696,-48.240647934560506,0.03532053749936903,0.021971841982121095,0.039676985974714814,0.023665255387233894,5.2020123942275625,5.011176143340259,113.466736,99.43033,72.21813999491015,-11.973666138810378,73.00429764384319,-12.752017434315057,0.06552283870072996,0.047775009828086794,0.07860368194221365,0.05335049841298066,,,,,12.395725,12.670838,2923.52,1066.3613,12.876156,12.419844,279.7654,116.14637,11.542036,11.628477,51.424843,24.594824,501.6617,394.63132,501.6617,394.63132,323,296,1.4062016,2.0365298,0,0,5.590066705898008E-4,6.81596690827866E-4
6669072664287717504,6669072664287718272,302.73224535276785,-48.10113432463139,302.7330998711596,-48.097314435513326,0.22361969758430464,0.15070877346844488,0.0486784001346809,0.03545496773859227,16.845980424775682,17.28557433655215,59.303947,286.5412,-73.23715062732275,-50.23080175359479,-77.71957528428518,-54.100020897098354,0.41761662921711934,0.29987571662661894,0.09664821686437342,0.07050590328952305,,,,,14.220695,14.882256,1715.4995,2092.7756,15.727344,16.38794,312.3169,234.7144,13.007757,13.684392,432.34326,501.806,14083.321,642.93286,14083.321,642.93286,206,219,1.4849977,1.4672109,0,0,0.0038622833772365794,0.003914301285814519
6669671829405061504,6669672031268561536,305.17814111026456,-46.068906470492315,305.17074927665766,-46.06999883295791,0.03175326264293121,0.020594162868252604,0.08157304844399728,0.07328505059201522,10.159631332047889,10.428282953059375,237.97954,85.15918,58.603947030727234,-7.408476894255899,58.02878028010434,-7.6830495476566085,0.06376467542010152,0.041306743527365276,0.15797010317925222,0.14775152158994698,6.381974137112184,,0.3339680714193481,,10.817445,17.084066,2190.7532,1202.0164,11.304736,18.922998,948.4294,48.408253,10.208136,15.779721,1466.5591,373.70764,680.44727,477.39374,680.44727,477.39374,354,340,1.2147484,1.5510983,15,0,0.005243398536417462,0.007472112139707926
6669870012079471616,6669873005673630592,298.4217863765244,-50.655007141236105,298.42733894012525,-50.63239004990736,0.07667661521572901,0.08259549556674982,0.0380098632645336,0.0381534421918349,22.636828487350602,22.86650524825734,204.17769,413.59116,101.05725024299645,-137.38872127030393,101.2783963867526,-137.74065217162115,0.15362150475726502,0.14292766973507431,0.0753001921628099,0.06339103074477884,,,,,16.319199,13.518911,931.1529,2487.1985,18.536945,14.972167,52.41256,420.55887,14.939627,12.345676,496.1134,529.2959,471.22406,659.8627,471.22406,659.8627,169,169,1.6130114,1.4474759,0,0,0.022889539566812094,0.023288705045893848
6670008589201056384,6670008589201057664,299.43919621629976,-49.96095345592003,299.4368050616624,-49.95973662475056,0.0663088025454033,0.05359180117684201,0.04888453966902671,0.03891546434024272,5.908109543974003,5.853714549060459,71.11388,95.81113,-25.912426576597053,-14.111733201430521,-26.41832566621901,-13.83484122997492,0.131913692773999,0.09811035263196852,0.09735476601124539,0.07037423594336589,,,,,16.489504,15.755753,1059.0619,1565.5377,17.936014,17.044506,78.85869,239.13272,15.300921,14.630753,370.66043,623.7121,264.8775,283.5162,264.8775,283.5162,182,183,1.4665437,1.4243857,0,0,0.0019613665464024883,0.0026829645160978146
6670054528171484416,6670054596890846336,298.98069504326696,-49.71239587551506,298.9705863003415,-49.700218044932285,0.028047249172479534,0.025832628672946535,0.022483398457676256,0.02245245749912845,6.232747834508958,6.296727979806636,148.94281,195.35745,21.37445413666287,-42.31206600929405,21.13050259993404,-42.316749591698745,0.05938207103849396,0.04228825621232001,0.04498793781556892,0.03694849445796784,,,,,14.630049,14.526936,2455.1702,2715.0615,15.68594,15.548544,295.26953,198.88449,13.619865,13.533511,516.2237,623.702,179.40869,181.38948,179.40869,181.38948,150,168,1.3574147,1.3497646,0,0,0.013821611055969065,0.015826757129490637
6670178459452754944,6670178463747983744,298.1269763116519,-49.425408888523286,298.128513567495,-49.4250176204329,0.03565637519378628,0.03059055916474819,0.027719550653983023,0.023171741399696247,6.23514073701344,6.204144174189331,129.15562,170.14403,-4.415712060193608,-0.17817828081531278,-3.5778873367368114,0.897672485125271,0.07043868391903772,0.055711449281197735,0.05424928407437149,0.04164208521862486,,47.14117218030486,,2.1499217791344924,15.2046585,12.882368,1862.1145,2894.4924,16.315899,13.533158,111.68701,630.8287,14.12588,12.131158,295.6947,965.3944,216.37628,158.50372,216.37628,158.50372,166,167,1.4140816,1.2535706,0,9,0.0010737207340293699,0.0015862680245651766
6670393899307337600,6670393899307351808,298.92339823673143,-48.16355642026804,298.93158595194376,-48.17020739508608,0.04120182863854136,0.034338075520779665,0.03931970304369462,0.030001690485565977,9.012277015581814,9.023845001595822,143.96577,157.36652,-0.9428685656338714,3.9121755482179714,-1.0589080669366582,3.9149844245493166,0.08318853211706875,0.05970689098354979,0.08127181478450853,0.05155552216562075,,,,,14.75709,14.613876,716.5364,2082.0276,16.040085,15.85866,154.40388,305.50974,13.64041,13.516264,253.9747,554.90955,339.25577,275.41626,339.25577,275.41626,169,165,1.4164091,1.4037243,0,0,0.00860563487841078,0.010548656143247202
6670443927085968384,6670443927085968896,300.7632908409846,-48.89599649639848,300.76219512175123,-48.89380347489916,0.030704841021870013,0.02683322062639564,0.033573718500008294,0.02744014180411289,5.989646354128741,5.9030342451361495,150.25986,138.01315,38.28253868226153,-63.12671574032602,38.165875741848375,-62.51705806832067,0.06186760229483046,0.04626359586012912,0.06793451016388093,0.04748802495081893,-50.09126526019227,-50.487002879342924,0.607118670912411,0.2543642158270844,11.017391,8.758512,2318.4536,3397.645,11.370514,9.074894,713.60876,650.54395,10.530285,8.322548,956.5761,527.3819,363.33673,439.43753,363.33673,439.43753,169,177,1.196827,1.1843551,7,4,0.002308306607528956,0.0024515186996808664
