# Table derived from the table bestCanditates.csv. The meaning of the columns is the same
# Table created on Oct 18 15:51:30 2018
# 
# 
#  From table bestCandidates.csv all multiple entries were removed. That is, only stars appearing once were retained. This reduced from 12296 to 8628 pairs 
#  Cut in parallax accuracy: Max error on distance < 1.5 pc.    After filtering on distance 7173 pairs remained
#  NO cut for RADIAL VELOCITY.
# 
# 
# 
# Columns are:
#
#  1)  id_1         GAIA ID for primary
#  2)  id_2         GAIA ID for secondary
#  3)  ra_1         RA of primary star in degrees
#  4)  ra_err_1     error on right ascension in milliarcsec (mas)
#  5)  dec_1        DEC in degrees
#  6)  dec_err_1    error on DEC in mas
#  7)  ra_2         RA of secondary
#  8)  ra_err_2     error on RA of secundary in mas
#  9)  dec_2        DEC of secondary
# 10)  dec_err_2    error on DEC of secundary in mas
# 11)  d1           distance of primary in pc
# 12)  d1_err       error on distance in pc
# 13)  d2           distance of secondary in pc
# 14)  d2_err       error on distance in pc
# 15)  app_separ    Projected separation in arcsec, this was required to be smaller than 2 pc.
# 16)  radial_separ Separation along the radial direction (basically the difference of parallaxes) in pc. This was required to be smaller than 2pc.
# 17)  v1_ra        velocity from proper motion of primary in right ascension in km/s
# 18)  v1_ra_err    error on velocity along RA,  km/s 
# 19)  v1_dec       velocity from proper motion of primary along the declination, in km/s
# 20)  v1_dec_err   error on velocity of primary along declination, in km/s
# 21)  v2_ra        velocity from proper motion for secondary in km/s
# 22)  v2_ra_err    error on velocity along RA,  km/s
# 23)  v2_dec       dec velocity of secundary in km/s
# 24)  v2_dec_err   error on velocity along DEC,  km/s
# 25)  rv1         radial velocity of primary in km/s
# 26)  rv1_err     error on radial velocity in km/s
# 27)  rv2         radial velocity for secondary
# 28)  rv2_err     error on radial velocity
# 29)  m1           apparent magnitude of primary
# 30)  m2           app mag of secondary
# 31)  N2           number of stars (including the companion) in a cube of 2pc on a side centered on the primary
# 32)  N4           number of stars (including the companion) in a cube of 4pc on a side centered on the primary
# 
#
#                v_1                   v_2         v_3         v_4         v_5         v_6         v_7         v_8         v_9        v_10        v_11        v_12        v_13        v_14        v_15        v_16        v_17        v_18        v_19        v_20        v_21        v_22        v_23        v_24        v_25        v_26        v_27        v_28   v_29   v_30    v_31     v_32
#id_1,id_2,ra_1,ra_err_1,dec_1,dec_err_1,ra_2,ra_err_2,dec_2,dec_err_2,d1,d1_err,d2,d2_err,app_separ,radial_separ,v1_ra,v1_ra_err,v1_dec,v1_dec_err,v2_ra,v2_ra_err,v2_dec,v2_dec_err,rv1,rv1_err,rv2,rv2_err,m1,m2,N2,N4
 2799909177630458880,  2799470060173799680,   6.008783,   0.040060,  21.925716,   0.038152,   5.769387,   0.037828,  21.464149,   0.045990,   169.0890,     1.3005,   168.9320,     1.4567,  1843.9725,     0.1570,    9.72460,    0.10070,  -12.99070,    0.11270,   10.43290,    0.10520,  -14.44910,    0.13760,    7.87700,    1.02300,    9.37600,    1.36000, 11.87, 12.41  ,     4  ,    10 
 2554952937743669120,  2554952933447842304,   6.281690,   0.034895,   4.295457,   0.024242,   6.280783,   0.023757,   4.295016,   0.016505,   176.6280,     1.3193,   175.7800,     0.8898,     3.6225,     0.8480,   61.91510,    0.46800,  -12.72820,    0.10430,   60.87310,    0.31210,  -12.21520,    0.06840,   -5.41300,    1.56000,   -5.70600,    1.10500, 12.95, 13.07  ,     5  ,     9 
 2799157974965291648,  2799157970670537088,   6.345315,   0.104560,  20.591484,   0.043630,   6.345939,   0.045051,  20.592002,   0.039124,    96.3290,     0.5343,    97.1160,     0.4845,     2.8106,    -0.7870,   17.27320,    0.15240,  -21.00740,    0.12020,   17.77960,    0.09710,  -21.37520,    0.11040,  -19.31400,    0.40500,  -16.73000,    0.38800, 10.81,  8.82  ,     3  ,     4 
  530146028306414464,   530146028301621760,   6.699063,   0.024085,  69.767112,   0.021781,   6.698255,   0.044560,  69.766193,   0.024889,    96.6180,     0.2622,    96.5640,     0.3418,     3.4580,     0.0540,   11.60580,    0.03810,   19.06760,    0.05480,   11.68340,    0.05410,   18.08500,    0.06750,   15.80800,    0.29800,   14.23300,    1.28700,  8.75, 12.63  ,     4  ,    12 
  527224900791865472,   527224694633435136,   6.748416,   0.021521,  64.508988,   0.022867,   6.752507,   0.022077,  64.509543,   0.023216,   104.3670,     0.3302,   104.8410,     0.3362,     6.6458,    -0.4740,  -12.34450,    0.04510,    0.22110,    0.02290,  -12.12150,    0.04490,   -0.01470,    0.02290,          *,          *,    3.28500,    0.67800,  9.90, 10.79  ,     2  ,    12 
  527461742466102656,   527461742466102528,   6.759973,   0.018370,  66.106365,   0.016631,   6.758892,   0.022291,  66.107275,   0.022656,   210.5310,     0.9155,   209.0270,     1.1904,     3.6355,     1.5040,    7.13080,    0.04750,  -16.11530,    0.07720,    7.59420,    0.06080,  -15.75970,    0.10040,          *,          *,          *,          *, 13.55,  9.62  ,     3  ,    13 
 2799550947293531648,  2799550942998190592,   7.044228,   0.040427,  20.811116,   0.030366,   7.048293,   0.050671,  20.811215,   0.033170,   120.1950,     0.7807,   120.8670,     0.9756,    13.6839,    -0.6720,   12.01010,    0.09020,   -3.76370,    0.03790,   12.63610,    0.11340,   -3.97890,    0.04780,   13.46900,    0.37100,          *,          *, 10.59, 12.39  ,     4  ,     8 
  381798098417371136,   381798094122442624,   7.226476,   0.040846,  41.422367,   0.058599,   7.228281,   0.038630,  41.423263,   0.041828,   130.2020,     0.9544,   130.7990,     0.9105,     5.8435,    -0.5970,   -8.55250,    0.08340,   39.81080,    0.30290,   -9.81880,    0.08740,   40.74590,    0.28970,  -35.54900,    0.43000,  -35.16700,    0.40800,  9.88, 10.53  ,     2  ,     5 
 2859608127828465664,  2859608127827881984,   7.371070,   0.045761,  31.626054,   0.041722,   7.371100,   0.048080,  31.625437,   0.042865,   148.7450,     1.4068,   148.6640,     1.4570,     2.2231,     0.0810,   -5.63780,    0.08350,  -20.09420,    0.19690,   -6.05420,    0.08490,  -19.63540,    0.19940,          *,          *,          *,          *, 11.69, 11.63  ,     2  ,     8 
  416013251008903424,   416013251008902912,   7.399391,   0.033650,  52.568686,   0.030351,   7.395096,   0.023945,  52.568317,   0.021462,   151.2270,     1.1294,   150.9780,     0.8673,     9.4914,     0.2490,    0.92960,    0.04480,   -7.31830,    0.06450,    0.45480,    0.03040,   -7.60550,    0.04880,          *,          *,   -0.24100,    2.06700, 10.99, 13.85  ,     2  ,    11 
  539346569808520320,   539346569808520192,   7.695564,   0.024112,  74.434427,   0.020865,   7.698925,   0.031964,  74.435624,   0.023551,    86.6430,     0.1941,    86.1460,     0.2418,     5.3955,     0.4970,    2.62480,    0.02190,   16.96240,    0.04170,    2.58970,    0.02680,   17.99590,    0.05410,   12.46000,    0.28100,   12.87500,    0.31100, 10.56, 11.15  ,     2  ,     4 
  536300544644052096,   536300544644051968,   7.729531,   0.026202,  70.871258,   0.021411,   7.731724,   0.017271,  70.871673,   0.014397,   166.6860,     0.7697,   165.9860,     0.5026,     2.9875,     0.7000,   24.11860,    0.11770,  -15.62140,    0.07930,   21.02740,    0.06830,  -16.00780,    0.05320,  -18.53700,    0.54300,          *,          *, 11.28, 13.68  ,     3  ,    10 
  365106240596798976,   365106240596798848,   7.744021,   0.043853,  34.098598,   0.054997,   7.743517,   0.041838,  34.097949,   0.054698,   123.7480,     1.0125,   121.9760,     0.9346,     2.7778,     1.7720,   14.87440,    0.13680,   -5.25800,    0.09090,   14.64250,    0.12570,   -5.11960,    0.08850,   -4.21200,    0.41200,          *,          *,  8.71,  8.72  ,     1  ,     5 
 2780903986000778240,  2780861448644753408,   8.029522,   0.023705,  16.114547,   0.017234,   8.542069,   0.040062,  16.165965,   0.024913,   144.1540,     0.5758,   143.8430,     0.8700,  1782.3091,     0.3110,    4.96390,    0.04060,  -33.96480,    0.13730,    8.57390,    0.07560,  -34.13820,    0.20850,  -10.32400,    1.78900,  -15.30800,    0.37100, 13.03,  9.86  ,     2  ,     6 
